date,region,carrier,shipments_processed,delay_hours_avg,fuel_price_usd_per_barrel,warehouse_utilization_percent,damage_claims_count,high_utilization,high_utilization_flag
2024-06-01,north america,fastship,1500,2.5,78.2,85,5,False,0
2024-06-01,europe,globalconnect,1200,1.8,79.5,75,2,False,0
2024-06-01,asia-pacific,oceanexpress,2100,4.1,81.1,92,12,True,1
2024-06-01,north america,reliablelogistics,900,1.2,78.2,60,1,False,0
2024-06-02,north america,fastship,1450,2.8,78.5,86,6,True,1
2024-06-02,europe,globalconnect,1250,1.5,79.8,74,3,False,0
2024-06-02,asia-pacific,oceanexpress,2200,4.5,81.4,93,15,True,1
2024-06-02,north america,reliablelogistics,920,1.1,78.5,61,0,False,0
2024-06-03,north america,fastship,1550,2.3,78.8,84,4,False,0
2024-06-03,europe,globalconnect,1180,1.9,80.1,76,2,False,0
2024-06-03,asia-pacific,oceanexpress,2050,4.0,81.7,91,11,True,1
2024-06-03,north america,reliablelogistics,880,1.3,78.8,59,2,False,0
2024-06-04,north america,fastship,1600,2.1,79.0,83,3,False,0
2024-06-04,europe,globalconnect,1300,1.7,80.3,73,1,False,0
2024-06-04,asia-pacific,oceanexpress,2300,4.8,82.0,94,18,True,1
2024-06-04,north america,reliablelogistics,950,1.0,79.0,62,0,False,0
2024-06-05,north america,fastship,1400,3.0,79.3,87,7,True,1
2024-06-05,europe,globalconnect,1150,2.0,80.6,77,4,False,0
2024-06-05,asia-pacific,oceanexpress,2000,3.8,82.3,90,10,True,1
2024-06-05,north america,reliablelogistics,850,1.4,79.3,58,3,False,0
2024-06-06,north america,fastship,1520,2.7,79.6,85,5,False,0
2024-06-06,europe,globalconnect,1220,1.6,80.9,75,2,False,0
2024-06-06,asia-pacific,oceanexpress,2150,4.3,82.6,92,14,True,1
2024-06-06,north america,reliablelogistics,910,1.2,79.6,60,1,False,0
2024-06-07,north america,fastship,1480,2.9,79.9,86,6,True,1
2024-06-07,europe,globalconnect,1280,1.4,81.2,74,3,False,0
2024-06-07,asia-pacific,oceanexpress,2250,4.6,82.9,93,16,True,1
2024-06-07,north america,reliablelogistics,930,1.0,79.9,61,0,False,0
2024-06-08,north america,fastship,1580,2.2,80.1,84,4,False,0
2024-06-08,europe,globalconnect,1190,1.8,81.5,76,2,False,0
2024-06-08,asia-pacific,oceanexpress,2080,4.2,83.2,91,13,True,1
2024-06-08,north america,reliablelogistics,890,1.3,80.1,59,2,False,0
2024-06-09,north america,fastship,1620,2.0,80.4,83,3,False,0
